Carcinogenicity,group,smiles
0,training,CCC(CC)C(=O)NC(N)=O
1,training,CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl
0,training,CCC(O)OC(O)CC
1,training,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
0,training,CCC[N+](=O)[O-]
1,training,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O
0,training,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
0,training,CCC1(c2ccccc2)C(=O)NCNC1=O
1,training,CCC1(CC)C(=O)N=C([O-])NC1=O
0,training,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
0,training,CCc1cc(C(N)=S)ccn1
0,training,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1
0,training,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
1,training,CCc1ccccc1
1,training,CCC1CO1
0,training,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
1,training,CCCC(CCC)C(=O)[O-]
0,training,CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(C)Cl
1,training,CCCC[C@H](C)[C@@H](OC(=O)C[C@H](CC(=O)O)C(=O)O)[C@@H](C[C@H](C)C[C@@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@H](CC(=O)O)C(=O)O
0,training,CCCC[N+](=O)[O-]
0,training,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O
1,training,CCCc1cc(=O)[nH]c(=S)[nH]1
1,training,CCCc1ccc2c(c1)OCO2
0,training,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
0,training,CCCCC(CC)CO
1,training,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
0,training,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
0,training,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
0,test,CCCCC(CC)COS(=O)(=O)[O-]
0,training,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC
0,valid,CCCCC1(COC(=O)CCC(=O)O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
1,training,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
0,training,CCCCCC
0,training,CCCCCC(/C=C/C=C\CCCCCCCC(=O)OC)OO
0,training,CCCCCC(N)=O
0,training,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
0,training,CCCCCCc1ccc(O)cc1O
1,training,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
0,training,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO
0,training,CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
0,training,CCCCCCCCCC[N+](C)(C)[O-]
0,training,CCCCCCCCCc1ccc(OCCOCCO)cc1
0,training,CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1
0,training,CCCCCCCCCCCC[N+](C)(C)[O-]
0,training,CCCCCCCCCCCCC(=O)COC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO
0,training,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCCCCCCC
0,training,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
1,valid,CCCCCCCCCCCCCCN(C)N=O
1,training,CCCCCCCCCCCCN(C)N=O
1,training,CCCCCCCCCCCN(C)N=O
1,training,CCCCCCCCCCN(C)N=O
0,training,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2
0,training,CCCCCCCN
1,training,CCCCCCN(N=O)C(N)=O
0,training,CCCCCCOc1cc(C)c(O)c(C)c1C
0,training,CCCCCl
1,training,CCCCCN(CCCCC)N=O
0,training,CCCCCN(N=O)/C(N)=N/[N+](=O)[O-]
1,training,CCCCCN(N=O)C(=O)OCC
1,training,CCCCCN(N=O)C(N)=O
1,training,CCCCN(CCCC)N=O
1,training,CCCCN(CCCCO)N=O
0,training,CCCCN(N=O)/C(N)=N/[N+](=O)[O-]
1,training,CCCCN(N=O)C(N)=O
1,training,CCCCNC(=O)N(CCCC)N=O
0,training,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
0,training,CCCCNC(N)=O
0,training,CCCCOCCO
1,valid,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
1,training,CCCCOP(=O)(OCCCC)OCCCC
0,training,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
0,training,CCCN(CCC)c1ccc(N=Nc2cc[n+]([O-])cc2)cc1
1,training,CCCN(CCC)N=O
0,training,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
1,valid,CCCN(N=O)/C(N)=N/[N+](=O)[O-]
1,training,CCCN(N=O)C(N)=O
1,training,CCCN=[N+]([O-])CCC
0,training,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
0,training,CCCOC(=O)c1cc(O)c(O)c(O)c1
1,training,CCN(C#N)N=O
1,training,CCN(C)N=O
0,training,CCN(C=O)CC
1,training,CCN(CC(F)(F)F)N=O
0,training,CCN(CC)C(=O)c1cccc(C)c1
0,training,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
0,training,CCN(CC)C(=S)[S-]
0,training,CCN(CC)C(=S)SSC(=S)N(CC)CC
1,training,CCN(CC)C(C)=O
0,training,CCN(CC)c1cc2oc3cc(=[N+](CC)CC)c(C)cc-3c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c2cc1C
1,training,CCN(CC)c1ccc(N=Nc2cc[n+]([O-])cc2)cc1
0,training,CCN(CC)CC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1
0,training,CCN(CC)CCCNC(=O)Cn1ncc(-c2ccccc2)c1-c1ccccc1
0,training,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(OC)cc2)c2ccccc2)cc1
1,training,CCN(CC)N=O
1,training,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1
0,training,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(O)cc2S(=O)(=O)[O-])cc1
1,training,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(S(=O)(=O)[O-])cc2)cc1
1,training,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1
0,training,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2S(=O)(=O)[O-])cc1
1,training,CCN(N=O)C(=O)NCC(C)=O
1,training,CCN(N=O)C(=O)NCCO
1,training,CCN(N=O)C(N)=O
1,training,CCN=[N+]([O-])CC
1,training,CCN=[N+](C)[O-]
0,training,CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C
1,training,CCn1c2ccccc2c2cc(N)ccc21
1,training,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
1,training,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
0,training,CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2
1,training,CCNC(=O)N(CCO)N=O
1,training,CCNC(=O)Nc1ncc([N+](=O)[O-])s1
1,training,CCNC(=S)NCC
1,training,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
1,training,CCNc1nc(Cl)nc(NC(C)C)n1
0,test,CCNc1nc(Cl)nc(NCC)n1
0,valid,CCNNC(=O)[C@@H]1[C@H](c2cc(OC)c(OC)c(OC)c2)c2cc3c(cc2[C@H](O)[C@H]1CO)OCO3
0,training,CCOC(=O)/C=C\C(=O)OCC
0,training,CCOC(=O)[C@]1(c2ccccc2)CCC=C[C@H]1N(C)C
0,training,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
1,training,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
0,training,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
0,test,CCOC(=O)c1ccccc1C(=O)OCC
0,training,CCOC(=O)C1OC1(C)c1ccccc1
0,training,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC
0,training,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
1,valid,CCOC(=O)N(CC)N=O
1,training,CCOC(N)=O
0,training,CCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO
1,training,CCOc1ccc(NC(C)=O)cc1
0,training,CCOc1ccc(NC(C)=O)cc1[N+](=O)[O-]
0,valid,CCOc1ccc(NC(C)=O)cc1N
1,training,CCOc1ccc(NC(N)=O)cc1
0,training,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
0,training,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
1,training,CCOCCc1c(-c2ccccc2)nc(N)n2ncnc12
0,training,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
0,training,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
0,training,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
0,training,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
0,training,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
1,test,CCOS(=O)(=O)OCC
1,test,CCOS(C)(=O)=O
0,training,CCSC[C@H](N)C(=O)O
1,training,CCSCC[C@H](N)C(=O)O
1,training,CCSCCC(N)C(=O)O
0,training,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1,training,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
0,training,ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1,training,ClC/C=C/CCl
1,training,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
1,training,ClC1(Cl)C2(Cl)C3C4(Cl)C1(Cl)C1(Cl)C4(Cl)C(Cl)(Cl)C3(Cl)C21Cl
0,training,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H](C[C@@H](Cl)[C@@H]3Cl)C1(Cl)C2(Cl)Cl
0,valid,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H]([C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@H]1O[C@@H]41
0,valid,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C[C@H]3[C@H]3O[C@@H]43)[C@@]1(Cl)C2(Cl)Cl
0,training,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H](C4C=C[C@H]3C4)C1(Cl)C2(Cl)Cl
0,training,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
0,valid,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
1,valid,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
0,training,ClC1C2(Cl)C3C4C5OC5C5C4C1(Cl)C(Cl)(C53)C2(Cl)Cl
0,training,Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1
1,training,Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2
1,training,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
1,training,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
0,training,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
1,training,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
1,training,Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1
1,training,Clc1ccc(Cl)cc1
0,training,Clc1ccc(Sc2cc(Cl)c(Cl)cc2Cl)cc1
0,training,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
0,training,Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2
1,training,Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1
1,training,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl
1,training,Clc1cccc(-c2cccc(Cl)c2)c1
1,training,Clc1ccccc1
0,training,Clc1ccccc1Cl
0,training,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1
0,training,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1
1,training,ClCC(Br)CBr
1,training,ClCC(Cl)CCl
0,training,ClCc1ccccc1
0,training,ClCc1ccccn1
1,training,ClCc1cccnc1
1,training,ClCC1CO1
1,test,ClCCN(CCCl)c1ccc2ccccc2c1
0,test,ClCCOCCCl
0,training,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
0,training,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
0,training,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1
1,training,CN(C)C(=O)Nc1ccc(Cl)cc1
0,valid,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1
0,valid,CN(C)C(=S)SSC(=S)N(C)C
0,training,CN(C)C=O
1,training,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1
1,training,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1
1,training,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1
1,training,CN(C)c1ccc(N=Nc2ccccc2)cc1
0,training,CN(C)c1ccc(N=NS(=O)(=O)[O-])cc1
1,training,CN(C)c1ccccc1
1,test,CN(C)CCN(C)N=O
0,training,CN(C)CCN(Cc1ccco1)c1ccccn1
0,training,CN(C)CCN(Cc1cccs1)c1ccccc1
1,training,CN(C)CCN(Cc1cccs1)c1ccccn1
0,training,CN(C)CCN(Cc1ccsc1)c1ccccn1
1,training,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
0,valid,CN(C)CCOC(c1ccccc1)c1ccccc1
0,training,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
1,training,CN(C)CNc1nnc(/C=C/c2ccc([N+](=O)[O-])o2)o1
1,training,CN(C)N/N=C1\N=CN=C1C(N)=O
1,training,CN(C)N=Nc1ccccc1
1,training,CN(C)NC(=O)CCC(=O)O
1,training,CN(C)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1
1,training,CN(C)P(=O)(N(C)C)N(C)C
1,valid,CN(CC(O)CO)N=O
0,training,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
1,training,CN(CCc1ccccc1)N=O
1,training,CN(CCCC(=O)c1cccnc1)N=O
1,training,CN(CCCC(=O)O)N=O
1,training,CN(CCCC(O)c1cccnc1)N=O
1,training,CN(CCCl)CCCl
1,training,CN(CCCO)N=O
1,training,CN(CCO)N=O
1,training,CN(N=O)C(=O)c1c(N(C)N=O)ncn1C
1,training,CN(N=O)C(=O)c1ccccc1
0,valid,CN(N=O)C(=O)c1ccccc1C(=O)N(C)N=O
1,training,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
1,training,CN(N=O)C(=O)Nc1nc2ccccc2s1
1,training,CN(N=O)C(=O)NCCC[C@H](N)C(=O)O
1,valid,CN(N=O)c1ccc(/C=C/c2ccnc3ccccc23)cc1
0,training,CN(N=O)c1ccc([N+](=O)[O-])cc1
1,training,CN(N=O)c1ccc(F)cc1
1,training,CN(N=O)c1ccc(N=O)cc1
1,training,CN(N=O)c1ccccc1
1,training,CN(N=O)c1ccccn1
0,training,CN(N=O)c1cccnc1
0,training,CN(N=O)c1ccncc1
0,training,CN[C@@H](C)[C@H](O)c1ccccc1
0,training,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
0,training,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21
0,training,CN=C(NC#N)NCCSCc1nc[nH]c1C
0,training,CN1[C@H]2CC(OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
0,training,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2
0,test,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
0,training,CN1C(=O)C[C@@H](C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N2CCC[C@H]2C(N)=O)NC1=O
0,training,Cn1c(=O)c2[nH]cnc2n(C)c1=O
0,training,Cn1c(=O)c2c(ncn2C)n(C)c1=O
0,training,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
0,training,CN1C(=O)OC(C)(C)C1=O
0,training,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
0,training,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O
1,valid,Cn1c(N)nc2c3cccnc3ccc21
1,valid,Cn1c(N)nc2ncc(-c3ccccc3)cc21
0,training,CN1C2CC[C@@H]1CC(NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2
0,training,Cn1cc(C(=O)[C@@H]2CCc3nc[nH]c3C2)c2ccccc21
0,training,Cn1cc(OCC(O)CNC(C)(C)C)c2ccccc2c1=O
1,training,Cn1cc[nH]c1=S
0,training,CN1CCC[C@H]1c1cccnc1
0,training,CN1CCCC1=O
0,training,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
0,training,Cn1cnc2[nH]c(N)nc(=O)c21
1,training,Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1
1,valid,CNC(=O)c1c(N(C)N=O)ncn1C
0,training,CNC(=O)CSP(=S)(OC)OC
0,training,CNC(=O)O/N=C(\SC)C(=O)N(C)C
0,training,CNC(=O)O/N=C/C(C)(C)SC
0,training,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
1,training,CNC(=O)Oc1cccc2ccccc12
1,training,CNC(=S)N(C)C
0,training,CNC(=S)NC
0,training,CNC[C@H](O)c1cccc(O)c1
1,training,CNc1ccc(N(CCO)CCO)cc1[N+](=O)[O-]
0,training,CNCc1ccc(CSCCNC(=NCC(O)c2ccc(O)cc2)NS(C)(=O)=O)o1
0,training,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
0,training,CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1
1,training,CNNCc1ccc(C(=O)NC(C)C)cc1
1,training,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
0,valid,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)/C(=C\NN2CCN(C)CC2)C(=C4O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
0,training,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
1,training,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
0,training,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
1,valid,COC(=O)C(C)(C)Oc1ccc(-c2ccc(Cl)cc2)cc1
0,training,COC(=O)C(c1ccccc1)C1CCCCN1
0,test,COC(=O)C(c1ccccc1)C1CCCCN1N=O
0,training,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)(C)CN(C)Cc2ccccc2)C1c1cc([N+](=O)[O-])ccc1F
0,training,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1
0,valid,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1
0,valid,COC(=O)C1=CCCN(N=O)C1
0,training,COC(=O)c1ccc(C(=O)OC)cc1
1,training,COC(C)(C)C
0,training,COC1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O
0,training,COc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl
1,training,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1,training,COc1c2occc2cc2ccc(=O)oc12
0,training,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O
0,training,COc1cc(/C=C/C(=O)OCCc2ccccc2)ccc1O
1,training,COc1cc(-c2ccc(N)c(OC)c2)ccc1N
1,training,COc1cc(-c2ccc(N/N=C3\C(=O)c4c(N)cc(S(=O)(=O)[O-])cc4C=C3S(=O)(=O)[O-])c(OC)c2)ccc1N/N=C1\C(=O)c2c(N)cc(S(=O)(=O)[O-])cc2C=C1S(=O)(=O)[O-]
1,training,COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O
0,training,COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl
1,training,COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)C1C=COC1O4
0,training,COc1cc(OC)c2c3c(c(=O)oc2c1)C(=O)CC3
0,training,COc1cc(OC)c2c3c(c(=O)oc2c1)CCC3
0,training,COc1cc(OC)c2c3c(c(=O)oc2c1)CCC3=O
1,training,COc1cc(S(C)=O)ccc1-c1nc2ccncc2[nH]1
1,training,COc1cc2c(c3c1c(=O)c1ccccc1n3C)C=CC(C)(C)O2
1,training,COc1cc2c(c3oc(=O)c4c(c13)CC[C@H]4O)[C@@H]1C=CO[C@H]1O2
1,training,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2
1,training,COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2
1,training,COc1cc2c(c3oc4cccc(O)c4c(=O)c13)C1C=COC1O2
1,training,COc1cc2c(cc1N)oc1ccccc12
1,training,COc1ccc([N+](=O)[O-])cc1N
0,training,COc1ccc([N+](=O)[O-])cc1N/N=C1/C(=O)C(C(=O)Nc2cccc([N+](=O)[O-])c2)=Cc2ccccc21
1,training,COc1ccc(C(=O)/C(Br)=C\C(=O)[O-])cc1
1,training,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1
0,training,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
0,training,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
1,training,COc1ccc(C)cc1N
0,training,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
1,training,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
1,training,COc1ccc(N)c(C)c1
0,training,COc1ccc(N)c(OC)c1
0,training,COc1ccc(N)cc1
1,training,COc1ccc(N)cc1N
1,training,COc1ccc(O)c(C(C)(C)C)c1
1,training,COc1ccc(O)cc1
1,training,COc1ccc(OC)c(/C=C/c2ccc(N)cc2)c1
1,training,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
0,training,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314
1,training,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
1,valid,COc1cccc(O)c1O
1,test,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
1,valid,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)[O-])cc3c(c12)OCO3
1,training,COc1ccccc1[N+](=O)[O-]
1,training,COc1ccccc1N
0,training,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
0,training,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
1,training,COP(=O)(OC)N1CCOCC1
0,training,COP(=O)(OC)OC
1,training,COP(=O)(OC)OC=C(Cl)Cl
0,training,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
0,training,COP(=S)(OC)Oc1ccc(SC)c(C)c1
0,training,COP(=S)(OC)SCCNC(C)=O
0,training,COP(=S)(OC)SCn1nnc2ccccc2c1=O
1,valid,COP(C)(=O)OC
0,training,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1
0,training,CS(=O)(=O)OCCCCOS(C)(=O)=O
0,training,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O
0,training,CSCCC(N)C(=O)O
1,training,N#[N+]/C=C(\[O-])OC[C@H](N)C(=O)O
1,training,N#[N+]c1cc(CCN)ccc1[O-]
0,training,N#CC(C#N)=Cc1ccccc1Cl
1,valid,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
0,training,N#Cc1ccc(C2CCCc3cncn32)cc1
0,training,N#CSCc1ccccc1
0,training,N/C(=N\O)c1ccc([N+](=O)[O-])o1
0,training,N[C@@H](CC(=O)O)C(=O)[O-]
0,training,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
1,training,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
0,training,N[C@@H](Cc1cnc[nH]1)C(=O)O
0,training,N[C@@H](CCC(=O)O)C(=O)[O-]
0,valid,N[C@@H](CS)C(=O)O
0,test,N[C@H](CCC(=O)O)C(=O)O
1,training,N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1
0,training,N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12
1,valid,NC(=O)/C(=C\c1ccc([N+](=O)[O-])o1)c1ccco1
0,training,NC(=O)c1ccccc1C(N)=O
0,training,NC(=O)c1cnccn1
1,training,NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1
