LC50,group,smiles
4.6739998,training,Clc1ccccc1-c1ccccc1
4.6799998,training,CCCCCCBr
4.6820002,training,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1
4.691,training,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
4.697,training,Brc1nc(Br)c(Br)[nH]1
4.7049999,valid,Oc1c(Br)cc(Br)cc1Br
4.7059999,training,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1
4.7090001,valid,CCCCCOCCCCC
4.7129998,training,CCCCOC(=O)CCC(=O)OCCCC
4.7199998,training,c1ccc(-c2ccccc2)cc1
4.7249999,training,O=Cc1ccccc1O
4.7270002,training,CCCCOC(C)COC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl
4.7319999,test,CCc1cccc(CC)c1N(COC)C(=O)CCl
4.737,test,N#Cc1cc(I)c(O)c(I)c1
4.737,training,Nc1ccc(Cl)c(Cl)c1Cl
4.7389998,training,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1
4.7389998,training,CS(=O)(=O)Oc1ccc(Cl)cc1Cl
4.7420001,training,COP(=O)(OC)OC=C(Cl)Cl
4.743,training,Cc1ccc(Cl)c(Cl)c1
4.7480001,training,N#CCCl
4.7589998,training,CCCSSCCC
4.7620001,training,Brc1ccccc1Br
4.7670002,test,COc1cccc(C=O)c1O
4.777,test,CCCCCCOc1ccc(N)cc1
4.7859998,training,C=CC(=O)OCC(C)C
4.7919998,training,Cc1cc(O)c([N+](=O)[O-])cc1[N+](=O)[O-]
4.7979999,training,S=c1[nH]c2cc(Cl)ccc2s1
4.8000002,training,Clc1ccc(Cl)c(Cl)c1
4.8000002,training,CC(C)Nc1nc(Cl)nc(NC2CC2)n1
4.802,training,CCC(C)(C)c1ccc(O)cc1
4.803,training,O=c1cc(-c2ccccc2)oc2ccccc12
4.8039999,test,C#CC(O)CCCC
4.8049998,training,O=Cc1ccc(Cl)cc1
4.809,training,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
4.8109999,training,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
4.8179998,training,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
4.8189998,test,CCCCCCCCCCO
4.822,test,CCCCCCCCCN
4.8280001,training,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
4.8319998,test,COc1cc(O)c(C=O)c(OC)c1
4.8410001,test,Cl/C=C/CCl
4.8509998,training,CCCCOC(=O)CCCCC(=O)OCCCC
4.8540001,training,CCOP(=S)(OCC)SCCSCC
4.862,training,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
4.8860002,valid,CNC(=O)O/N=C(\C)SC
4.8920002,training,c1ccc2nc3ccccc3cc2c1
4.8969998,valid,CC(O)C#N
4.9099998,training,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1
4.915,test,Cc1cc(N)c([N+](=O)[O-])cc1[N+](=O)[O-]
4.9190001,training,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
4.921,training,C/C=C/C=O
4.9380002,training,CCCCCc1ccccc1
4.9390001,training,COP(=S)(OC)Oc1ccc(SC)c(C)c1
4.947,test,CCCCCCOc1ccc(C=O)cc1OC
4.961,training,Oc1ccc(Cl)cc1O
4.967,test,c1ccc2c(c1)oc1ccccc12
4.973,training,CC(C)c1ccc2c(c1)CCC1[C@]2(C)CCC[C@@]1(C)C(=O)O
4.9759998,test,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
4.9759998,training,CCOC(=O)CCCCCCCCC(=O)OCC
4.9840002,training,c1cc2c3c(cccc3c1)CC2
4.9879999,training,O=Cc1ccc(Cl)cc1Cl
4.993,test,Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-]
5.0120001,test,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1
5.013,training,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
5.0180001,training,C=CC(=O)OC1CCCCC1
5.027,test,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1
5.0289998,valid,CNC(=O)Oc1ccc(N(C)C)c(C)c1
5.039,training,Nc1ccccc1C(=O)c1ccc(Cl)cc1
5.0479999,training,CC(=O)c1ccc(Cl)c(Cl)c1Cl
5.052,test,CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl
5.052,training,BrCCCBr
5.052,training,CC1=CCC(=C(C)C)CC1
5.0549998,training,CCCCCCCCCC(C)=O
5.0619998,test,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
5.072,training,N#CCC#N
5.0840001,valid,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
5.085,training,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl
5.086,training,CCCCCCCBr
5.0869999,training,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1
5.1040001,test,CC(C)C1=CC2=CCC3[C@](C)(C(=O)O)CCC[C@]3(C)C2CC1
5.105,training,C=CCOC(=O)C(=C)C
5.1149998,training,CC(C)(C)SSC(C)(C)C
5.1279998,training,N#CC(Br)(Br)C(N)=O
5.1300001,training,IC(I)I
5.1459999,training,C=CC(=O)OCCCCCC
5.1459999,valid,Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-]
5.1589999,training,CCCCCCCC#CCO
5.1690001,training,CC(=O)CC(=O)c1ccccc1
5.171,test,Oc1ccc(N=Nc2ccccc2)cc1
5.171,training,CNC(=O)O/N=C/C(C)(C)SC
5.184,test,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
5.1890001,training,O=Cc1cc(Br)ccc1O
5.1919999,training,C=CC(C)(O)CC/C=C(\C)CCC=C(C)C
5.1939998,training,CCCCCCCCCCC(C)=O
5.2189999,training,CCCCCCCCCCCO
5.224,training,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
5.2420001,training,ClC(Cl)(Cl)C(Cl)(Cl)Cl
5.2449999,training,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
5.2509999,training,O=Cc1c(F)c(F)c(F)c(F)c1F
5.2550001,training,c1ccc2c(c1)[nH]c1ccccc12
5.2589998,training,C=CCO
5.2620001,valid,Fc1ccc(Oc2ccc(F)cc2)cc1
5.2659998,training,Oc1cc(Cl)c(Cl)cc1Cl
5.2659998,training,CCCCCCCCCCCCO
5.276,training,O=C(Oc1ccccc1)c1ccccc1O
5.277,test,COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21
5.277,training,O=Cc1cccc(C(F)(F)F)c1
5.2820001,training,C=C(C)[C@H]1CC=C(C)CC1
5.2839999,training,Brc1ccc(Br)cc1
5.29,test,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
5.2930002,training,Clc1ccc(Cl)c(Cl)c1Cl
5.303,training,Oc1cc(Cl)c(Cl)cc1O
5.3070002,training,CC(C)=C1C=C2CCC3[C@](C)(C(=O)O)CCC[C@]3(C)C2CC1
5.3080001,training,O=Cc1cc(Cl)ccc1O
5.3109999,test,CCOC(=O)C(Cl)C(=O)OCC
5.3150001,training,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
5.316,training,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
5.3470001,valid,CCOP(=O)(OCC)OP(=O)(OCC)OCC
5.3520002,training,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
5.3540001,training,CCOP(=S)(CC)Sc1ccccc1
5.3629999,training,CCCCCCCCBr
5.3670001,training,CCCCOC(=O)c1ccccc1C(=O)OCCCC
5.3720002,training,Cc1c([N+](=O)[O-])ccc([N+](=O)[O-])c1N
5.375,test,Clc1cccc(Cl)c1C(Cl)Cl
5.3829999,training,COC(=O)C1C(C(=O)OC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
5.3850002,training,Clc1cc(Cl)cc(C2(CC(Cl)(Cl)Cl)CO2)c1
5.3899999,training,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
5.3930001,training,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
5.4039998,training,CNC(=O)Oc1cccc2c1OC(C)(C)C2
5.434,valid,C=C1CCC2CC1C2(C)C
5.4400001,training,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1
5.447,test,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
5.4780002,training,O=[N+]([O-])c1ccc(/C=C/c2cccc(CO)n2)o1
5.4850001,training,C#CC(O)CCCCC
5.4899998,training,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
5.507,test,COP(=S)(OC)SCn1nnc2ccccc2c1=O
5.5180001,training,O=Cc1cc(Br)cc(Br)c1O
5.5219998,training,CCCCOC(=O)/C=C/C(=O)OCCCC
5.5409999,training,C=C[C@@]1(C)CCC2C(=CCC3[C@](C)(C(=O)O)CCC[C@]23C)C1
5.5440001,test,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
5.5580001,training,N#CC(Br)Br
5.5679998,valid,CCCCOCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl
5.5910001,training,Oc1c(I)cc(I)cc1I
5.6350002,test,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
5.6420002,training,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2
5.6430001,test,Brc1ccc(Oc2ccccc2)cc1
5.6529999,test,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
5.6739998,training,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1
5.677,test,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl
5.678,training,C=CCCCCCCC=C
5.6789999,training,C1C2CC3CC1CC(C2)C3
5.6869998,training,CC1=CC[C@H]2C[C@H]1C2(C)C
5.7280002,training,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
5.73,training,Clc1nc(Cl)c(Cl)c(Cl)c1Cl
5.737,training,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
5.7410002,valid,CCCCCCCCCCCC(C)=O
5.7670002,test,CCCCCCCCOc1ccccc1NC(C)=O
5.8200002,training,C=C(CCl)CCl
5.829,training,Clc1cc(Cl)c(Cl)cc1Cl
5.835,training,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
5.842,training,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1
5.8520002,training,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]
5.8610001,training,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
5.9120002,test,CCCCCCCCCCCN
5.9120002,training,CCCCCCCCCc1ccc(O)cc1
5.9130001,valid,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
5.9299998,test,Nc1c(Cl)c(Cl)cc(Cl)c1Cl
5.9330001,test,CCCSCSP(=S)(OCC)OCC
5.9390001,training,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
5.9499998,training,O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1
5.9809999,training,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1
5.9850001,test,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
5.9850001,training,BrC(Br)c1ccccc1C(Br)Br
6.0180001,training,CCOP(=S)(OCC)SCSCC
6.0229998,training,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
6.027,training,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
6.0380001,training,c1ccc(-c2cccc(-c3ccccc3)n2)cc1
6.0640001,training,C=CCN=C=S
6.0770001,training,O=C(Nc1cccc(Cl)c1)c1cccc([N+](=O)[O-])c1O
6.0869999,training,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl
6.1129999,valid,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
6.1430001,training,CCOP(=S)(OCC)O/C(=C/Cl)c1cc(Cl)ccc1Cl
6.1479998,test,CCCCNC(=O)OCC#CI
6.171,training,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
6.177,training,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
6.1799998,training,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
6.1830001,training,CCCCCCCCn1sccc1=O
6.191,training,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
6.1950002,training,CC1=CC(=O)c2ccccc2C1=O
6.2010002,test,ClC1=C(Cl)C2(Cl)C=CC1(Cl)C2(Cl)Cl
6.2069998,training,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
6.2090001,training,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1
6.2329998,training,CCCCCCCCc1ccc(N)cc1
6.2379999,test,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
6.2540002,test,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N
6.2550001,training,CCCCCCCCCCCCN
6.2579999,test,CCOP(=S)(OCC)OP(=S)(OCC)OCC
6.2979999,training,c1ccc(SSc2ccccc2)cc1
6.3169999,training,C=CC=O
6.3169999,training,Cc1c([N+](=O)[O-])ccc([N+](=O)[O-])c1[N+](=O)[O-]
6.3509998,training,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
6.3559999,training,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
6.3839998,test,C=CC(C)(O)CCC1C(=C)CCC2C(C)(C)CCCC12C
6.408,training,CC(C)=CCC/C(C)=C/CN(C/C=C(\C)CCC=C(C)C)CCO
6.4390001,test,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
6.4460001,valid,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6.4840002,training,CCCCCCCCCCCCCN
6.5040002,training,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
6.5250001,training,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
6.5349998,training,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
6.5689998,training,CCCCCCCCCCc1ccc(N)cc1
6.5999999,training,O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1
6.6040001,training,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
6.6339998,training,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
6.6440001,training,c1ccc(-c2ccc(-c3ccccc3)o2)cc1
6.645,training,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl
6.6479998,valid,COc1ccc(OC)c(C(=O)CBr)c1
6.652,training,ClCc1ccc(CCl)cc1
6.665,valid,CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C
6.6669998,training,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
6.6989999,test,C=CCC1=C(C)C(OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O
6.7199998,valid,Oc1c(Br)c(Br)c(Br)c(Br)c1Br
6.7519999,training,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
6.7740002,valid,c1ccc2c(c1)-c1cccc3cccc-2c13
6.7839999,training,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl
6.8099999,training,CCOP(=S)(OCC)SCSC(C)(C)C
6.8189998,test,CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1
6.8189998,training,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
6.882,training,Clc1ccc(Cl)c(-c2ccccc2Cl)c1
6.9070001,training,CCC(C)c1cccc(OC(=O)N(C)Sc2ccccc2)c1
7.0450001,test,CN(C)C(=S)SSC(=S)N(C)C
7.086,training,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
7.211,test,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
7.2709999,training,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
7.2849998,training,C/C=C/c1ccc(OC)cc1
7.2870002,training,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
7.4260001,test,O=C(Nc1ccccc1)c1ccccc1O
7.6069999,training,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
7.691,training,Cc1c(Cl)cc(C(C)(C)C)c(O)c1C(=O)Nc1ccc([N+](=O)[O-])cc1Cl
7.809,training,C=Cn1c2ccccc2c2ccccc21
7.8179998,training,C=C(C)[C@H]1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
7.8990002,test,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C
8.1000004,training,ClC1=C(Cl)C2(Cl)C3C4OC4(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl
8.1370001,training,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
8.1639996,training,COP(=O)(OC)Oc1nc(Cl)c(Cl)cc1Cl
8.1689997,test,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
8.1999998,training,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1
8.4840002,training,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
8.5710001,valid,CC1(C)C(C=C2CCCC2)C1C(=O)OCc1coc(Cc2ccccc2)c1
8.6040001,training,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
8.9759998,valid,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1
9.2609997,training,CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1
